epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.4095,0.64732,0.92148,1,0.21234,0.000414747,0.000414747,0.000414747
2,23.1701,0.40676,0.91801,1,0.20896,0.000803977,0.000803977,0.000803977
3,33,0.4422,0.89145,1,0.26173,0.00116571,0.00116571,0.00116571
4,43.8882,0.44643,0.90878,1,0.2679,0.00112625,0.00112625,0.00112625
5,53.7364,0.40547,0.903,1,0.27336,0.001085,0.001085,0.001085
6,63.7188,0.37512,0.92032,1,0.24279,0.00104375,0.00104375,0.00104375
7,73.4168,0.33238,0.93187,1,0.16691,0.0010025,0.0010025,0.0010025
8,83.7971,0.32549,0.94226,1,0.16367,0.00096125,0.00096125,0.00096125
9,93.2577,0.24877,0.93418,1,0.19623,0.00092,0.00092,0.00092
10,102.532,0.25903,0.93649,1,0.18113,0.00087875,0.00087875,0.00087875
11,111.628,0.23388,0.94688,1,0.18958,0.0008375,0.0008375,0.0008375
12,121.335,0.20486,0.94457,1,0.1375,0.00079625,0.00079625,0.00079625
13,130.653,0.2018,0.9515,1,0.16357,0.000755,0.000755,0.000755
14,139.558,0.17432,0.95727,1,0.12358,0.00071375,0.00071375,0.00071375
15,148.309,0.14613,0.95381,1,0.16472,0.0006725,0.0006725,0.0006725
16,157.125,0.16764,0.95497,1,0.14065,0.00063125,0.00063125,0.00063125
17,165.895,0.14117,0.95958,1,0.12186,0.00059,0.00059,0.00059
18,174.441,0.13669,0.96305,1,0.11855,0.00054875,0.00054875,0.00054875
19,183.591,0.13655,0.9642,1,0.11496,0.0005075,0.0005075,0.0005075
20,192.729,0.11005,0.95958,1,0.12533,0.00046625,0.00046625,0.00046625
21,225.322,0.1144,0.95958,1,0.11195,0.000425,0.000425,0.000425
22,232.509,0.10291,0.9642,1,0.11444,0.00038375,0.00038375,0.00038375
23,239.552,0.08653,0.96882,1,0.1004,0.0003425,0.0003425,0.0003425
24,246.747,0.08492,0.96189,1,0.12145,0.00030125,0.00030125,0.00030125
25,253.889,0.07729,0.96305,1,0.10769,0.00026,0.00026,0.00026
26,260.976,0.08016,0.96305,1,0.11214,0.00021875,0.00021875,0.00021875
27,268.096,0.06341,0.96882,1,0.1054,0.0001775,0.0001775,0.0001775
28,275.271,0.06228,0.96074,1,0.11089,0.00013625,0.00013625,0.00013625
29,282.338,0.05484,0.96536,1,0.09548,9.5e-05,9.5e-05,9.5e-05
30,289.36,0.04481,0.96651,1,0.09162,5.375e-05,5.375e-05,5.375e-05
